Date,Open,High,Low,Close,Adj Close,Volume
2021-01-18,209.000000,209.250000,208.550003,208.899994,208.899994,20
2021-01-19,212.550003,214.600006,208.350006,213.600006,213.600006,21
2021-01-20,218.100006,223.050003,217.000000,223.050003,223.050003,15
2021-01-21,222.300003,224.350006,220.850006,224.149994,224.149994,2
2021-01-22,223.250000,228.000000,222.550003,226.649994,226.649994,0
2021-01-25,227.399994,230.199997,225.350006,228.100006,228.100006,0
2021-01-26,227.449997,232.949997,227.449997,232.500000,232.500000,0
2021-01-27,234.000000,235.500000,225.600006,227.850006,227.850006,265
2021-01-28,219.750000,235.850006,219.600006,225.000000,225.000000,0
2021-01-29,216.600006,218.399994,211.300003,211.300003,211.300003,100
2021-02-01,215.899994,218.050003,211.149994,218.050003,218.050003,82
2021-02-02,218.800003,223.250000,218.750000,222.949997,222.949997,0
2021-02-03,223.050003,223.449997,219.899994,222.699997,222.699997,12
2021-02-04,223.000000,223.000000,220.550003,222.449997,222.449997,2
2021-02-05,223.550003,223.550003,222.050003,222.550003,222.550003,9
2021-02-08,223.300003,223.500000,220.500000,220.550003,220.550003,33
2021-02-09,221.000000,225.449997,219.399994,223.000000,223.000000,23
2021-02-10,223.699997,224.250000,220.850006,222.300003,222.300003,0
2021-02-11,224.149994,225.000000,221.699997,222.699997,222.699997,5
2021-02-12,221.149994,223.649994,221.149994,222.699997,222.699997,19
2021-02-15,223.199997,223.199997,221.850006,222.050003,222.050003,7
2021-02-16,222.399994,228.000000,222.399994,226.300003,226.300003,2
2021-02-17,225.000000,227.149994,224.100006,226.449997,226.449997,34
2021-02-18,226.500000,226.500000,220.800003,222.250000,222.250000,20
2021-02-19,221.199997,222.550003,215.699997,215.699997,215.699997,65
2021-02-22,213.600006,215.199997,212.100006,215.199997,215.199997,152
2021-02-23,214.800003,214.800003,211.500000,211.500000,211.500000,85
2021-02-24,217.399994,219.300003,214.149994,219.000000,219.000000,0
2021-02-25,216.000000,217.199997,211.149994,211.149994,211.149994,40
2021-02-26,207.199997,219.449997,207.199997,218.550003,218.550003,4
2021-03-01,218.000000,218.000000,214.649994,217.500000,217.500000,0
2021-03-02,219.899994,220.649994,218.050003,219.649994,219.649994,0
2021-03-03,217.149994,217.149994,213.149994,213.850006,213.850006,7
2021-03-04,211.250000,220.199997,210.750000,214.550003,214.550003,0
2021-03-05,214.600006,219.250000,214.550003,219.250000,219.250000,0
2021-03-08,217.550003,222.100006,217.500000,218.449997,218.449997,0
2021-03-09,217.100006,225.300003,217.000000,225.300003,225.300003,10
2021-03-10,223.250000,223.949997,222.149994,222.199997,222.199997,2
2021-03-11,224.350006,231.649994,224.350006,231.649994,231.649994,40
2021-03-12,227.800003,227.800003,221.850006,222.899994,222.899994,0
2021-03-15,224.600006,230.750000,224.399994,230.750000,230.750000,10
2021-03-16,230.449997,236.649994,229.850006,234.699997,234.699997,30
2021-03-17,234.199997,243.250000,231.649994,236.449997,236.449997,10
2021-03-18,236.949997,237.899994,234.649994,236.699997,236.699997,0
2021-03-19,234.750000,245.000000,234.750000,243.750000,243.750000,0
2021-03-22,244.000000,250.750000,243.850006,249.699997,249.699997,61
2021-03-23,243.800003,250.100006,243.800003,249.149994,249.149994,0
2021-03-24,244.600006,247.699997,240.399994,240.800003,240.800003,2
2021-03-25,239.649994,240.750000,236.550003,236.550003,236.550003,6
2021-03-26,237.050003,241.050003,236.000000,236.899994,236.899994,1
2021-03-29,239.449997,247.850006,238.149994,247.850006,247.850006,433
2021-03-30,247.649994,248.500000,245.899994,247.250000,247.250000,22
2021-03-31,245.050003,251.850006,244.949997,251.850006,251.850006,0
2021-04-01,252.500000,255.600006,252.250000,252.500000,252.500000,1
2021-04-06,260.899994,262.100006,258.450012,259.399994,259.399994,32
2021-04-07,260.000000,262.799988,257.850006,262.799988,262.799988,2
2021-04-08,267.100006,267.100006,260.799988,262.049988,262.049988,61
2021-04-09,263.450012,263.850006,262.250000,262.299988,262.299988,9
2021-04-12,263.200012,263.200012,259.649994,260.549988,260.549988,1
2021-04-13,261.450012,262.100006,261.350006,261.649994,261.649994,0
2021-04-14,257.399994,260.000000,253.300003,254.100006,254.100006,21
2021-04-15,254.149994,259.049988,254.149994,259.049988,259.049988,0
2021-04-16,256.899994,257.350006,254.550003,254.550003,254.550003,0
2021-04-19,255.399994,255.750000,251.199997,251.199997,251.199997,0
2021-04-20,251.100006,251.100006,247.500000,249.750000,249.750000,20
2021-04-21,248.899994,251.000000,247.899994,249.300003,249.300003,4
2021-04-22,250.500000,251.750000,247.600006,249.500000,249.500000,50
2021-04-23,248.649994,249.750000,246.850006,249.250000,249.250000,50
2021-04-26,248.949997,252.699997,248.800003,250.100006,250.100006,0
2021-04-27,252.350006,252.350006,249.850006,252.250000,252.250000,0
2021-04-28,255.149994,256.700012,253.050003,254.350006,254.350006,9
2021-04-29,268.250000,272.750000,267.149994,269.200012,269.200012,87
2021-04-30,269.700012,272.799988,269.500000,270.950012,270.950012,140
2021-05-03,269.049988,271.549988,267.250000,267.250000,267.250000,57
2021-05-04,267.799988,267.799988,260.799988,261.799988,261.799988,0
2021-05-05,265.649994,266.350006,263.899994,263.899994,263.899994,2
2021-05-06,262.500000,264.600006,260.850006,264.600006,264.600006,0
2021-05-07,266.899994,268.200012,263.350006,263.350006,263.350006,18
2021-05-10,262.899994,262.899994,251.600006,252.550003,252.550003,37
2021-05-11,249.000000,251.649994,246.949997,251.649994,251.649994,0
2021-05-12,251.649994,252.800003,247.649994,248.850006,248.850006,10
2021-05-13,251.649994,254.149994,249.100006,251.199997,251.199997,0
2021-05-14,254.550003,258.600006,253.500000,258.600006,258.600006,0
2021-05-17,261.600006,261.600006,257.049988,257.250000,257.250000,10
2021-05-18,260.549988,261.399994,256.850006,256.850006,256.850006,0
2021-05-19,251.850006,255.649994,249.699997,255.649994,255.649994,0
2021-05-20,256.450012,260.549988,255.600006,260.549988,260.549988,0
2021-05-21,261.500000,262.200012,259.700012,261.600006,261.600006,0
2021-05-25,267.200012,268.250000,265.700012,267.799988,267.799988,1
2021-05-26,268.700012,269.799988,266.799988,269.799988,269.799988,0
2021-05-27,268.450012,273.000000,266.700012,271.500000,271.500000,30
2021-05-28,272.549988,273.649994,270.600006,271.000000,271.000000,1
2021-05-31,269.100006,269.649994,267.649994,267.649994,267.649994,37
2021-06-01,268.850006,269.700012,267.850006,269.500000,269.500000,0
2021-06-02,269.000000,271.799988,269.000000,269.100006,269.100006,0
2021-06-03,270.350006,270.649994,267.100006,269.899994,269.899994,0
2021-06-04,268.450012,272.700012,266.000000,271.950012,271.950012,0
2021-06-07,271.950012,276.250000,270.299988,275.399994,275.399994,0
2021-06-08,275.799988,277.250000,273.799988,273.799988,273.799988,1
2021-06-09,274.149994,274.950012,273.250000,274.049988,274.049988,0
2021-06-10,271.950012,272.649994,270.299988,272.250000,272.250000,0
2021-06-11,274.100006,274.799988,272.500000,272.899994,272.899994,8
2021-06-14,273.750000,276.799988,273.299988,276.799988,276.799988,37
2021-06-15,277.399994,279.399994,276.950012,277.250000,277.250000,5
2021-06-16,278.450012,278.450012,273.899994,275.299988,275.299988,30
2021-06-17,273.899994,282.950012,273.899994,282.250000,282.250000,24
2021-06-18,284.200012,284.200012,279.299988,279.850006,279.850006,3
2021-06-21,278.600006,279.250000,275.250000,277.549988,277.549988,0
2021-06-22,279.350006,281.850006,278.399994,280.649994,280.649994,75
2021-06-23,284.399994,286.000000,283.950012,285.750000,285.750000,0
2021-06-24,286.450012,288.950012,286.450012,287.450012,287.450012,50
2021-06-25,287.700012,288.100006,284.399994,285.950012,285.950012,0
2021-06-28,286.600006,288.649994,285.350006,288.549988,288.549988,0
2021-06-29,299.350006,299.500000,293.350006,295.950012,295.950012,4
2021-06-30,295.899994,296.000000,293.600006,294.649994,294.649994,0
2021-07-01,294.049988,296.450012,292.700012,296.450012,296.450012,10
2021-07-02,298.350006,300.700012,298.299988,298.450012,298.450012,10
2021-07-05,299.649994,299.649994,298.600006,299.399994,299.399994,14
2021-07-06,298.850006,300.799988,295.899994,298.100006,298.100006,2
2021-07-07,298.450012,301.700012,297.700012,297.700012,297.700012,0
2021-07-08,295.350006,295.750000,290.500000,294.149994,294.149994,121
2021-07-09,291.399994,294.950012,290.700012,294.950012,294.950012,165
2021-07-12,296.700012,298.200012,295.049988,298.000000,298.000000,165
2021-07-13,298.600006,299.700012,296.250000,299.049988,299.049988,100
2021-07-14,299.500000,299.500000,293.649994,294.450012,294.450012,14
2021-07-15,294.049988,295.750000,289.149994,289.299988,289.299988,0
2021-07-16,290.600006,292.200012,288.500000,290.149994,290.149994,12
2021-07-19,289.399994,289.549988,284.350006,284.950012,284.950012,29
2021-07-20,287.899994,289.450012,284.799988,289.350006,289.350006,25
2021-07-21,291.250000,292.100006,289.649994,292.000000,292.000000,10
2021-07-22,294.299988,297.500000,293.200012,297.200012,297.200012,0
2021-07-23,305.399994,318.049988,305.350006,315.950012,315.950012,17
2021-07-26,314.450012,316.649994,312.299988,314.649994,314.649994,1
2021-07-27,315.549988,316.750000,308.600006,308.600006,308.600006,0
2021-07-28,315.100006,316.799988,314.100006,314.750000,314.750000,0
2021-07-29,305.049988,305.950012,301.750000,301.799988,301.799988,61
